FACTOR,HUMAN_CODING,HUMAN_CODING_GENERATED,HUMAN_CODING_GENERATED_NEW,HUMAN_NON_CODING,MOUSE_CODING,MOUSE_NON_CODING,NON_PROMOTER
POU4F1,0.6688159437280188,1.5505,0.21052631578947367,1.4217279726261762,0.5019707207207207,1.1700260078023408,2.535385361124576
LHX2,0.6644196951934349,1.269,0.42105263157894735,1.1766467065868262,0.6010698198198198,1.0653446033810143,1.760785264178381
HOXC4,0.6644196951934349,1.0645,0.3684210526315789,1.0179640718562877,0.6556869369369369,0.9570871261378412,1.3626595572790434
FOXI1,0.6617819460726846,1.183,0.5789473684210527,1.1313088109495295,0.6835585585585585,1.1732769830949286,1.623606398448861
NR2F1,0.6594372801875733,0.5325,0.631578947368421,0.6753635585970915,0.6052927927927928,0.6742522756827048,0.629827112619163
ZNF214,0.6591441969519344,0.8075,0.6842105263157895,0.981180496150556,0.6661036036036037,1.039336801040312,1.348198416545484
GLIS2,0.6556271981242673,0.5065,0.631578947368421,0.5064157399486741,0.5506756756756757,0.4743172951885566,0.2628049765713362
ETV5::HOXA2,0.6538686987104337,0.6,0.5789473684210527,0.5778443113772455,0.7162162162162162,0.6319895968790638,0.637502019712393
Pgr,0.6509378663540446,0.9515,0.631578947368421,1.160393498716852,0.7266328828828829,1.2330949284785435,1.7768621748263047
POU2F1,0.6491793669402111,1.2105,0.47368421052631576,1.283147989734816,0.5571509009009009,1.1625487646293888,2.175472612699952
FOSL1,0.6439038686987104,0.808,0.5263157894736842,1.1206159110350726,0.5760135135135135,1.0646944083224967,1.1199709161415414
LBX1,0.6386283704572099,1.08,0.3684210526315789,0.998289136013687,0.6241554054054054,1.0009752925877764,1.3001292615931492
FOXB1,0.638335287221571,1.4335,0.3157894736842105,1.364841745081266,0.5920608108108109,1.2578023407022108,2.339392470512199
SMAD5,0.6354044548651817,0.6305,0.42105263157894735,0.5449101796407185,0.7255067567567568,0.5903771131339401,0.4730974309258361
EMX2,0.6225087924970691,1.1625,0.42105263157894735,1.2181351582549187,0.558277027027027,1.0750975292587777,1.722895459686541
ZNF680,0.6219226260257913,0.823,0.631578947368421,0.8639863130881095,0.5844594594594594,0.8923927178153446,1.3680723864921636
HESX1,0.6163540445486518,1.0995,0.47368421052631576,1.1120615911035072,0.5774211711711712,0.8936931079323797,1.5386169009533042
HAND2,0.6143024618991794,0.7065,0.6842105263157895,0.760906757912746,0.6131756756756757,0.8111183355006502,1.0490386169009531
PHOX2A,0.6134232121922626,1.2205,0.2631578947368421,1.265183917878529,0.536036036036036,0.9583875162548764,1.8707384068508643
STAT3,0.608440797186401,0.822,0.6842105263157895,0.9174508126603936,0.6078265765765766,0.9310793237971392,1.3764743900468572
Esrrg,0.608440797186401,0.622,0.7368421052631579,0.7899914456800684,0.5782657657657657,0.8062418725617685,0.8862497980287607
HOXB4,0.60052754982415,0.8925,0.3157894736842105,0.9987168520102652,0.5791103603603603,0.9652145643693107,1.3026337049604135
POU4F3,0.5967174677608441,1.3815,0.21052631578947367,1.257912745936698,0.4487612612612612,1.0464889466840053,2.264986265955728
HSF4,0.5958382180539273,0.6685,0.8947368421052632,0.6625320786997434,0.6697635135135135,0.7795838751625488,0.8621748263047342
TBX1,0.5943728018757327,0.707,0.631578947368421,0.7497861420017109,0.5934684684684685,0.7776332899869961,0.7081111649701083
Sox7,0.5899765533411488,0.8745,0.42105263157894735,0.979469632164243,0.588963963963964,0.9847204161248374,1.308531265147843
ELK1::SREBF2,0.5890973036342321,0.4095,0.3157894736842105,0.3289136013686912,0.6793355855855856,0.32444733420026,0.1708676684440135
STAT1::STAT2,0.5873388042203986,0.779,0.21052631578947367,0.7249786142001711,0.6224662162162162,0.7656046814044213,0.9150105025044434
NKX6-3,0.5756154747948418,0.9115,0.47368421052631576,0.9332763045337896,0.5503941441441441,0.8754876462938882,1.341250605913718
HOXB8,0.5744431418522861,1.001,0.42105263157894735,1.0872540633019674,0.5461711711711712,0.9918725617685306,1.476894490224592
HOXD8,0.5621336459554513,0.9775,0.42105263157894735,1.0624465355004278,0.5357545045045045,0.972366710013004,1.4465180158345452
PAX6,0.5600820633059789,0.716,0.7368421052631579,0.7549187339606501,0.5596846846846847,0.7239921976592978,0.9701890450799806
SOX14,0.555978898007034,0.762,0.3684210526315789,0.8323353293413174,0.5121058558558559,0.8215214564369311,1.180319922443044
HOXB2,0.5542203985932005,0.9255,0.3684210526315789,1.0419161676646709,0.5132319819819819,0.9099479843953184,1.5100985619647762
